	Season	HomeTeam	AwayTeam	Sentence	Allocation
1020	15/16	Watford	Manchester United	they beat watford watford has hopes pulling anthony martial are injured	Watford
1021	15/16	Watford	Manchester United	united has list of absentees anthony martial are injured	Manchester United
1022	15/16	West Brom	Arsenal	albion fans are growing so far impatient with negativity on display from their team albion fans are growing far impatient with negativity on display albion fans are growing so far at_time season albion fans are growing so far impatient albion fans are growing impatient with negativity on display from their team albion fans are growing far impatient with negativity on display from their team albion fans are growing impatient albion fans are growing so far impatient with negativity on display albion fans are growing at_time season albion fans are growing impatient with negativity albion fans are growing far impatient with negativity albion fans are growing impatient with negativity on display albion fans are growing far impatient albion fans are growing so far impatient with negativity albion fans are growing far at_time season performance would would ideally timed enterprising performance would would timed enterprising performance would would ideally timed performance would would timed	West Brom
1023	15/16	West Brom	Arsenal	albion fans are growing so far impatient with negativity on display from their team albion fans are growing far impatient with negativity on display albion fans are growing so far at_time season albion fans are growing so far impatient albion fans are growing impatient with negativity on display from their team albion fans are growing far impatient with negativity on display from their team albion fans are growing impatient albion fans are growing so far impatient with negativity on display albion fans are growing at_time season albion fans are growing impatient with negativity albion fans are growing far impatient with negativity albion fans are growing impatient with negativity on display albion fans are growing far impatient albion fans are growing so far impatient with negativity albion fans are growing far at_time season performance would would ideally timed enterprising performance would would timed enterprising performance would would ideally timed arsenal has injury problems performance would would timed arsene wenger has side	Arsenal
1024	15/16	Crystal Palace	Sunderland	fixture looks like routine home win fixture looks like home win fixture looks on paper fixture looks like routine home fixture looks like home crystal palace beaten liverpool prior sunderland lost again crystal palace come at_time time to southampton crystal palace beaten liverpool prior at anfield crystal palace beaten liverpool prior sunderland lost crystal palace beaten prior liverpool crystal palace beaten liverpool crystal palace beaten liverpool sunderland lost crystal palace beaten liverpool sunderland lost again crystal palace beaten liverpool at anfield crystal palace come into it crystal palace come at_time time crystal palace come after all memories winning 3-1 his team playing with fear	Crystal Palace
1025	15/16	Crystal Palace	Sunderland	fixture looks like routine home win fixture looks like home win fixture looks on paper fixture looks like routine home fixture looks like home memories winning 3-1 his team playing with fear	Sunderland
1026	15/16	Aston Villa	Watford	watford 's quique sanchez flores drop jack grealish watford 's quique sanchez flores has backed choice of his counterpart at aston villa banishment galvanise youngster grealish prospects in struggling side brightest prospects is in struggling side	Aston Villa
1027	15/16	Aston Villa	Watford	watford 's quique sanchez flores drop jack grealish watford 's quique sanchez flores has backed choice of his counterpart at aston villa watford 's quique sanchez flores has backed choice of his counterpart watford 's quique sanchez flores has backed choice watford has quique sanchez flores banishment galvanise youngster brightest prospects is in struggling side	Watford
1028	15/16	Bournemouth	Everton	it is over two months it leaves aston villa beneath them it leaves aston villa in table it leaves aston villa with chelsea it leaves only aston villa it leaves only aston villa beneath them it leaves aston villa roberto martinez has team 11 so expect goals 11 expect goals	Bournemouth
1029	15/16	Bournemouth	Everton	it is over two months it leaves aston villa beneath them it leaves aston villa in table it leaves aston villa with chelsea it leaves only aston villa it leaves only aston villa beneath them it leaves aston villa roberto martinez has team 11 so expect goals 11 expect goals	Everton
1030	15/16	Crystal Palace	Newcastle United	five years is in charge second side improve on sunderland performance side is in less than week they take on side second side will will desperate he left after five years in charge side improve on sunderland performance side will will desperate alan pardew will will desperate he left after five years he left in january marouane chamakh is option again marouane chamakh came on in one marouane chamakh is option	Crystal Palace
1031	15/16	Crystal Palace	Newcastle United	five years is in charge second side improve on sunderland performance side is in less than week they take on side second side will will desperate he left after five years in charge side improve on sunderland performance side will will desperate he left after five years he left in january	Newcastle United
1032	15/16	Leicester City	Manchester United	jamie vardy could break premier league record scoring in 11th game against very team holder set benchmark for for 12 years jamie vardy could break premier league record scoring in 11th consecutive game against very team jamie vardy could break premier league record scoring in game against very team jamie vardy could break premier league record jamie vardy scoring in consecutive game jamie vardy scoring in game jamie vardy could break premier league record scoring in game against team jamie vardy could break premier league record scoring against team jamie vardy could break premier league record scoring in consecutive game holder set benchmark jamie vardy scoring in 11th consecutive game jamie vardy could break premier league record scoring in consecutive game against very team jamie vardy could break premier league record scoring in 11th consecutive game against team jamie vardy scoring against very team jamie vardy could break premier league record scoring in game jamie vardy scoring in 11th game jamie vardy could break premier league record scoring against very team current holder set benchmark jamie vardy could break premier league record scoring in 11th game against team jamie vardy could break premier league record scoring jamie vardy could break premier league record scoring in 11th consecutive game jamie vardy could break premier league record scoring in consecutive game against team jamie vardy could break premier league record scoring in 11th game jamie vardy scoring against team current holder set benchmark for for 12 years united have defence so repeat of last season 's 5-3 win for leicester united have defence so repeat of season 's 5-3 win for leicester meanest defence is in top flight	Leicester City
1033	15/16	Leicester City	Manchester United	holder set benchmark for for 12 years holder set benchmark current holder set benchmark current holder set benchmark for for 12 years louis van gaal has described vardy as problem louis van gaal has described vardy louis van gaal has described vardy as nasty problem louis van gaal has described vardy as nasty problem for manchester united louis van gaal has described vardy as problem for manchester united united have defence so repeat of last season 's 5-3 win for leicester united have defence in flight united have meanest defence in flight united defence in flight united have defence in top flight united have defence so repeat of season 's 5-3 win united have defence so repeat of last season 's 5-3 win united have defence so repeat united have defence so repeat of season 's 5-3 win for leicester united meanest defence in top flight united have meanest defence in top flight united have meanest defence united defence in top flight meanest defence is in top flight united have defence united meanest defence in flight	Manchester United
1034	15/16	Manchester City	Southampton	manchester city won premier league game ago on final day of october manchester city last won premier league game ago on day of october manchester city won premier league game ago on final day manchester city won premier league game on final day manchester city won premier league game on day of october manchester city won premier league game on day manchester city won premier league game manchester city won premier league game ago on day of october manchester city last won premier league game manchester city last won premier league game on final day manchester city won premier league game on final day of october manchester city last won premier league game ago on final day manchester city last won premier league game ago on day manchester city last won premier league game on day manchester city last won premier league game ago on final day of october manchester city last won premier league game on day of october manchester city last won premier league game on final day of october manchester city won premier league game ago on day manchester city won ago premier league game manchester city last won ago premier league game	Manchester City
1035	15/16	Manchester City	Southampton	southampton have two victories from their past three games southampton have two victories southampton have two victories from their past three top-flight games	Southampton
1036	15/16	Sunderland	Stoke City	goalkeeper keeping sheets goalkeeper keeping clean sheets goalkeeper has equalled it goalkeeper has already equalled it survival sunderland with sole concern sam allardyce is expected sam allardyce is expected with survival sunderland 's sole concern sam allardyce is expected retain his opponent smothering 3-5-2 formation sam allardyce is expected with survival sunderland 's concern his new opponent smothering 3-5-2 formation thrill factor could on could side thrill factor could on could low side	Sunderland
1037	15/16	Sunderland	Stoke City	jack butland can break club record jack butland can break club record set jack butland can break club record set by gordon banks jack butland can break ago club record set by gordon banks jack butland can break ago club record jack butland can break ago club record set goalkeeper keeping sheets goalkeeper keeping sheets in stoke 's past five away games in competitions goalkeeper keeping clean sheets stoke in past five away games in competitions goalkeeper keeping sheets in stoke 's past five games in competitions goalkeeper has equalled it goalkeeper has already equalled it stoke 's past five away games is in competitions his opponent smothering 3-5-2 formation his new opponent smothering 3-5-2 formation thrill factor could on could side thrill factor could on could low side mark hughes has otherwise impressive team	Stoke City
1038	15/16	Liverpool	Swansea City	jurgen klopp to liverpool home is with them liverpool bring devastating form liverpool bring form six matches is in competitions	Liverpool
1039	15/16	Liverpool	Swansea City	home is with them six matches is in competitions	Swansea City
1040	15/16	Norwich City	Arsenal	nobody points than them nobody more points than them they beat dinamo zagreb at home they beat dinamo zagreb on tuesday they beat dinamo zagreb it is rarely straightforward it is straightforward it is rarely that straightforward	Norwich City
1041	15/16	Norwich City	Arsenal	arsenal 's form has has good nobody points than them nobody more points than them they beat dinamo zagreb at home they beat dinamo zagreb on tuesday they beat dinamo zagreb alexis sanchez were in form alexis sanchez were in top form mesut ozil were in top form mesut ozil were in form it is rarely straightforward it is straightforward it is rarely that straightforward	Arsenal
1042	15/16	Tottenham Hotspur	Chelsea	tottenham hotspur extend flight 's unbeaten run tottenham hotspur extend top flight 's current run tottenham hotspur extend flight 's longest unbeaten run tottenham hotspur extend top flight 's longest unbeaten run tottenham hotspur extend flight 's longest run tottenham hotspur extend flight 's longest current run they must shrug off flight tottenham hotspur extend top flight 's run tottenham hotspur extend flight 's current run tottenham hotspur extend flight 's run tottenham hotspur extend top flight 's longest current unbeaten run they must shrug off flight following thursday 's win in europa league tottenham hotspur extend top flight 's longest current run they flight from baku tottenham hotspur extend flight 's longest current unbeaten run top flight has longest current unbeaten run tottenham hotspur extend top flight 's unbeaten run they must shrug off flight from baku tottenham hotspur extend flight 's current unbeaten run tottenham hotspur extend top flight 's current unbeaten run they must shrug off six-and-a-half-hour flight they must shrug off flight following thursday 's win at qarabag in europa league they six-and-a-half-hour flight from baku they must shrug off flight following thursday 's win they must shrug off six-and-a-half-hour flight from baku tottenham hotspur extend top flight 's longest run they must shrug off flight following thursday 's win at qarabag	Tottenham Hotspur
1043	15/16	Tottenham Hotspur	Chelsea	they must shrug off flight they must shrug off flight following thursday 's win in europa league they flight from baku top flight has longest current unbeaten run they must shrug off flight from baku they must shrug off six-and-a-half-hour flight they must shrug off flight following thursday 's win at qarabag in europa league they six-and-a-half-hour flight from baku they must shrug off flight following thursday 's win they must shrug off six-and-a-half-hour flight from baku they must shrug off flight following thursday 's win at qarabag his own problems is with john terry	Chelsea
1044	15/16	West Ham United	West Brom	last week has mauling at tottenham slaven bilic is without his suspended captain mark noble slaven bilic is without also his captain mark noble slaven bilic is without his captain mark noble against albion side slaven bilic is without his suspended captain mark noble against albion side buoyed slaven bilic is without his captain mark noble against albion side buoyed slaven bilic is without also his suspended captain mark noble slaven bilic is without also his suspended captain mark noble against albion side slaven bilic is without also his captain mark noble against albion side buoyed last week 's mauling was certainly chastening last week 's mauling was chastening slaven bilic is without also his captain mark noble against albion side slaven bilic is without also his suspended captain mark noble against albion side buoyed his player dimitri payet slaven bilic is without his captain mark noble week 's mauling was certainly chastening slaven bilic is without his suspended captain mark noble against albion side week 's mauling was chastening	West Ham United
1045	15/16	West Ham United	West Brom	last week has mauling at tottenham last week 's mauling was certainly chastening last week 's mauling was chastening week 's mauling was certainly chastening week 's mauling was chastening	West Brom
1046	15/16	Arsenal	Sunderland	arsene wenger dropped points his old rival riding into town his rival riding into town his old rival riding ready his rival riding ready he will ask question of arsenal he simple question of arsenal he question of arsenal he will ask simple question of arsenal	Arsenal
1047	15/16	Arsenal	Sunderland	his rival sam allardyce his old rival riding into town his rival riding into town his old rival riding ready his rival riding ready he will ask question of arsenal allardyce has tightened sunderland allardyce has tightened up sunderland he will ask simple question allardyce led them he will ask question he will ask simple question of arsenal	Sunderland
1048	15/16	Chelsea	Bournemouth	representative is in form of sorts three straight clean sheets representative of upturn three straight clean sheets representative in form of sorts australian was playing with weymouth australian was playing on loan australian was playing at_time last saturday australian was playing in front of 349 fans australian was playing at hemel hempstead australian was playing at_time saturday his parents head for stamford bridge his parents arrive on day his parents presumably head straight for stamford bridge his parents arrive on day of game his parents presumably head for stamford bridge his parents arrive over over christmas his parents head straight for stamford bridge	Chelsea
1049	15/16	Chelsea	Bournemouth	representative is in form of sorts three straight clean sheets representative of upturn three straight clean sheets representative in form of sorts australian was playing with weymouth australian was playing on loan australian was playing at_time last saturday australian was playing in front of 349 fans australian was playing at hemel hempstead australian was playing at_time saturday his parents arrive on day his parents arrive on day of game his parents arrive over over christmas	Bournemouth
1050	15/16	Manchester United	West Ham United	manchester united are third success is built on defence van gaal of team success is built on scrooge-like defence success is built success is built unfazed	Manchester United
1051	15/16	Manchester United	West Ham United	west ham united chelsea at home west ham united have beaten arsenal west ham united have beaten city west ham united have beaten liverpool on road west ham united have beaten arsenal on road west ham united have beaten liverpool west ham united have beaten city on road success is built on defence slaven bilic 's men playing names slaven bilic 's men playing more heralded names success is built on scrooge-like defence slaven bilic has men success is built slaven bilic 's men playing heralded names success is built unfazed slaven bilic 's men are unfazed	West Ham United
1052	15/16	Southampton	Aston Villa	three defeats in row pain extend their hapless streak more pain extend their own streak pain extend their streak remi garde 's side inflict pain more pain extend their own hapless streak adam traore will have remi garde 's side are pain extend their own streak more pain extend their hapless streak last week in defeat by watford more pain extend their streak pain extend their own hapless streak remi garde has side adam traore will probably have remi garde 's side are remi garde 's side inflict more pain remi garde 's side inflict pain on saints southampton side is in position	Southampton
1053	15/16	Southampton	Aston Villa	three defeats in row that could spell more bad news for aston villa that more bad news for aston villa pain extend their hapless streak more pain extend their own streak pain extend their streak remi garde 's side inflict pain more pain extend their own hapless streak adam traore will have remi garde 's side are pain extend their own streak more pain extend their hapless streak last week in defeat by watford more pain extend their streak pain extend their own hapless streak remi garde has side adam traore will probably have remi garde 's side are remi garde 's side inflict more pain	Aston Villa
1054	15/16	Stoke City	Manchester City	stoke captain will will welcome return stoke captain will will return for mark hughes stoke captain will will welcome return for mark hughes his side suffered shock defeat his side suffered shock defeat at_time saturday his side suffered shock defeat at hands his side suffered shock defeat at_time last saturday captain be welcome his side suffered shock defeat at hands of sunderland stoke captain will will return	Stoke City
1055	15/16	Stoke City	Manchester City	his side suffered shock defeat his side suffered shock defeat at_time saturday his side suffered shock defeat at hands his side suffered shock defeat at_time last saturday captain be welcome his side suffered shock defeat at hands of sunderland manuel pellegrini host of first-team regulars manuel pellegrini will without meanwhile will sergio aguero manuel pellegrini will without will sergio aguero manuel pellegrini host of regulars manuel pellegrini host of other regulars manuel pellegrini host of other first-team regulars	Manchester City
1056	15/16	Swansea City	Leicester City	they are stay above trouble they stay above trouble they are stay	Swansea City
1057	15/16	Swansea City	Leicester City	they are stay above trouble they stay above trouble they are stay	Leicester City
1058	15/16	Watford	Norwich City	norwich city travel to vicarage road buoyed by point they earned at_time last sunday norwich city travel to vicarage road they earned at_time sunday they earned against arsenal norwich city travel to vicarage road buoyed his side won in seven attempts his side won once in seven attempts his side won once in seven attempts season his side won in seven attempts season his side won just once in seven attempts season his side won just once in seven attempts odion ighalo can continue combining troy deeney can continue combining odion ighalo can continue combining effectively troy deeney can continue combining effectively troy deeney can continue combining as effectively odion ighalo can continue combining as effectively	Watford
1059	15/16	Watford	Norwich City	norwich city travel to vicarage road buoyed by point they earned at_time last sunday norwich city travel to vicarage road they earned at_time sunday they earned against arsenal norwich city travel to vicarage road buoyed his side won in seven attempts his side won once in seven attempts his side won once in seven attempts season his side won in seven attempts season alex neil will however will also aware alex neil will will also aware alex neil will will aware alex neil will however will aware his side won just once in seven attempts season his side won just once in seven attempts	Norwich City
1060	15/16	West Brom	Tottenham Hotspur	will hope was rejected will hope was rejected at_time summer will hope was rejected at_time last summer result would equal top-flight run result would equal undefeated run of 14 result run of 14 result would equal run of 14 result would equal undefeated run result would equal undefeated top-flight run result would equal top-flight run of 14 result undefeated run of 14 result would equal undefeated top-flight run of 14 result top-flight run of 14 result would equal run result would equal run from 1985 result undefeated top-flight run of 14	West Brom
1061	15/16	West Brom	Tottenham Hotspur	will hope was rejected mauricio pochettino since managed three league goals will hope was rejected at_time summer mauricio pochettino managed three league goals will hope was rejected at_time last summer result would equal top-flight run result would equal undefeated run of 14 result run of 14 result would equal run of 14 result would equal undefeated run result would equal undefeated top-flight run result would equal top-flight run of 14 result undefeated run of 14 result would equal undefeated top-flight run of 14 result top-flight run of 14 result would equal run result would equal run from 1985 result undefeated top-flight run of 14	Tottenham Hotspur
1062	15/16	Newcastle United	Liverpool	bundesliga win for german 's dortmund side mcclaren at wolfsburg bundesliga win for german 's dortmund side at mcclaren 's wolfsburg bundesliga win in 2011 englishman has penultimate game german for dortmund side at wolfsburg	Newcastle United
1063	15/16	Newcastle United	Liverpool	steve mcclaren facing jurgen klopp 's renascent liverpool steve mcclaren facing jurgen klopp 's liverpool jurgen klopp has renascent liverpool he met klopp bundesliga win for german 's dortmund side mcclaren at wolfsburg bundesliga win for german 's dortmund side at mcclaren 's wolfsburg bundesliga win in 2011 englishman has penultimate game german for dortmund side at wolfsburg	Liverpool
1064	15/16	Everton	Crystal Palace	something brings best his team need response	Everton
1065	15/16	Everton	Crystal Palace	something brings best his team need response	Crystal Palace
1066	15/16	Bournemouth	Manchester United	eddie howe have had at_time very different weeks eddie howe have had at_time different weeks eddie howe have had at_time weeks he entered whole new level he entered new level he entered level following defeat at wolfsburg goalless draw is with west ham he entered level following defeat he entered whole level he entered level dutchman thought he entered level	Bournemouth
1067	15/16	Bournemouth	Manchester United	louis van gaal have had at_time weeks louis van gaal have had at_time different weeks louis van gaal have had at_time very different weeks he entered whole new level he entered new level he entered level following defeat at wolfsburg he entered whole level of old trafford despair he entered new level of old trafford despair he entered level of old trafford despair goalless draw is with west ham he entered level following defeat he entered whole level he entered whole new level of old trafford despair he entered level dutchman thought he entered level	Manchester United
1068	15/16	Crystal Palace	Southampton	appealing trip to selhurst park they matches played in top two divisions they have won their seven league games they have won their last seven league games against crystal palace they have won their last seven league games they have won their seven league games against crystal palace his job is with 3-1 success in south london year ago they matches played in two divisions 3-1 success is in south london they arrive amid dip in form last month upon 5-1 thrashing of newcastle alan pardew has team they look build upon last month 's 5-1 thrashing they look build they arrive amid dip they yet arrive amid dip in form they particularly look build upon month 's 5-1 thrashing of newcastle they look build upon last month 's 5-1 thrashing of newcastle they build upon month 's 5-1 thrashing of newcastle they particularly look build they arrive will offer more they build upon month 's 5-1 thrashing they look build upon month 's 5-1 thrashing they yet arrive amid dip they particularly look build upon month 's 5-1 thrashing they build upon last month 's 5-1 thrashing they look build upon month 's 5-1 thrashing of newcastle they build upon last month 's 5-1 thrashing of newcastle dip is in form they particularly look build upon last month 's 5-1 thrashing they particularly look build upon last month 's 5-1 thrashing of newcastle return will add with reunion with former employers reunion is with former employers for pardew return will add with reunion return will add to their armoury return will add with reunion with former employers for pardew	Crystal Palace
1069	15/16	Crystal Palace	Southampton	they matches played in top two divisions they have won their seven league games they have won their last seven league games his job is with 3-1 success in south london year ago they matches played in two divisions 3-1 success is in south london they arrive amid dip in form last month upon 5-1 thrashing of newcastle they look build upon last month 's 5-1 thrashing they look build they arrive amid dip they yet arrive amid dip in form they particularly look build upon month 's 5-1 thrashing of newcastle they look build upon last month 's 5-1 thrashing of newcastle they build upon month 's 5-1 thrashing of newcastle they particularly look build they arrive will offer more they build upon month 's 5-1 thrashing they look build upon month 's 5-1 thrashing they yet arrive amid dip they particularly look build upon month 's 5-1 thrashing they build upon last month 's 5-1 thrashing they look build upon month 's 5-1 thrashing of newcastle they build upon last month 's 5-1 thrashing of newcastle dip is in form they particularly look build upon last month 's 5-1 thrashing they particularly look build upon last month 's 5-1 thrashing of newcastle return will add with reunion with former employers return will add with reunion return will add to their armoury	Southampton
1070	15/16	Manchester City	Swansea City	manchester city face side state could could advantage flux state of be could advantage to them manuel pellegrini has team face state could could advantage to them flux state of be could advantage	Manchester City
1071	15/16	Manchester City	Swansea City	state could could advantage flux state of be could advantage to them state could could advantage to them swansea may may determined swansea win game flux state of be could advantage swansea may may doubly determined swansea win game for monk	Swansea City
1072	15/16	Norwich City	Everton	norwich has inability string they do with performance they do with performance in particular they visit manchester united performance is in particular they visit tottenham they visit manchester united after this they visit tottenham after this he finding combination roberto martinez 's side usually give chance roberto martinez 's side give you he has chopped in recent weeks roberto martinez 's side give chance roberto martinez 's side usually give you selected should take heart roberto martinez has side roberto martinez 's side give chance at worst roberto martinez 's side usually give chance at worst he finding effective combination he has chopped in weeks	Norwich City
1073	15/16	Norwich City	Everton	they do with performance against everton they do with performance they do with performance in particular they visit manchester united performance is in particular they do with performance against everton in particular they visit tottenham they visit manchester united after this they visit tottenham after this he finding combination roberto martinez 's side usually give chance roberto martinez 's side give you he has chopped in recent weeks roberto martinez 's side give chance roberto martinez 's side usually give you selected should take heart roberto martinez has side roberto martinez 's side give chance at worst roberto martinez 's side usually give chance at worst he finding effective combination he has chopped in weeks	Everton
1074	15/16	Sunderland	Watford	quique sanchez flores offended by sam allardyce 's assertion quique sanchez flores slightly offended by sam allardyce 's assertion sam allardyce by assertion quique sanchez flores seems offended by sam allardyce 's assertion quique sanchez flores seems slightly offended by sam allardyce 's assertion side sit 10th i have mentality i have different mentality sunderland with duncan watmore sunderland has dynamic we have ready	Sunderland
1075	15/16	Sunderland	Watford	quique sanchez flores offended by sam allardyce 's assertion quique sanchez flores slightly offended by sam allardyce 's assertion quique sanchez flores seems offended quique sanchez flores seems offended by sam allardyce 's assertion quique sanchez flores seems slightly offended by sam allardyce 's assertion quique sanchez flores seems slightly offended side sit 10th watford has manager i have mentality i have different mentality watford has odion ighalo we have ready	Watford
1076	15/16	West Ham United	Stoke City	season of premier league west ham has momentum last weekend after comprehensive victory over manchester city they missing six players they missing six key players mark hughes has side mark hughes 's side are unbeaten in their past three visits to upton park mark hughes 's side are unbeaten unbeaten is in their past three visits to upton park mark hughes 's side are unbeaten in their past three visits	West Ham United
1077	15/16	West Ham United	Stoke City	season of premier league stoke city be discounted as contenders for european place stoke city be discounted as contenders stoke city be discounted stoke city be discounted as contenders for place stoke be will confident after last weekend 's victory stoke be will confident after weekend 's victory over manchester city last weekend after comprehensive victory over manchester city stoke be will confident after last weekend 's comprehensive victory over manchester city stoke be will confident after last weekend 's comprehensive victory stoke be will confident after weekend 's comprehensive victory stoke be will confident after weekend 's victory they missing six players stoke be will confident after weekend 's comprehensive victory over manchester city stoke be will confident they missing six key players stoke be will confident after last weekend 's victory over manchester city mark hughes has side mark hughes 's side are unbeaten in their past three visits to upton park mark hughes 's side are unbeaten unbeaten is in their past three visits to upton park mark hughes 's side are unbeaten in their past three visits	Stoke City
1078	15/16	Aston Villa	Arsenal	midfielder is classic classic case is in other this is classic winner looks on face of it winner looks on face jack grealish is in contention after spell on step jack grealish is in contention aston villa have gone 14 league games jack grealish is in back contention after spell aston villa look relegation candidates aston villa have gone without win jack grealish is in contention after spell jack grealish is in back contention after spell on step aston villa look nailed-on relegation candidates jack grealish is in back contention after spell on naughty step aston villa have gone club-record 14 league games jack grealish is in contention after spell on naughty step jack grealish is in back contention	Aston Villa
1079	15/16	Aston Villa	Arsenal	former arsenal midfielder is with arsene wenger in one dugout in other classic case of master midfielder is classic former arsenal midfielder is case in other former arsenal midfielder is in other classic case of master former arsenal midfielder is with arsene wenger classic case of master former arsenal midfielder is with arsene wenger case of master former arsenal midfielder is with arsene wenger in one dugout classic case of master former arsenal midfielder is case of master former arsenal midfielder is case with arsene wenger in one dugout former arsenal midfielder is case with arsene wenger classic case is in other former arsenal midfielder is classic case this is classic former arsenal midfielder is with arsene wenger in one dugout case of master former arsenal midfielder is classic case of master former arsenal midfielder is in other case of master former arsenal midfielder is with arsene wenger in one dugout in other case former arsenal midfielder is classic case with arsene wenger former arsenal midfielder is with arsene wenger in other case of master classic case is with arsene wenger in one dugout arsene wenger is in one dugout former arsenal midfielder is with arsene wenger in other case former arsenal midfielder is classic case with arsene wenger in one dugout former arsenal midfielder is with arsene wenger in other classic case former arsenal midfielder is classic case in other former arsenal midfielder is with arsene wenger in one dugout in other case of master former arsenal midfielder is with arsene wenger in other classic case of master former arsenal midfielder is with arsene wenger in one dugout in other classic case former arsenal midfielder is case winner looks on face of it winner looks on face arsenal oozing confidence after their emphatic midweek victory over olympiakos arsenal ought on other hand arsenal oozing confidence after their emphatic victory arsenal oozing confidence arsenal oozing confidence after their midweek victory arsenal ought on hand arsenal oozing confidence after their midweek victory over olympiakos arsenal oozing confidence after their victory over olympiakos arsenal oozing confidence after their victory arsenal oozing confidence after their emphatic victory over olympiakos arsenal oozing confidence after their emphatic midweek victory	Arsenal
1080	15/16	Liverpool	West Brom	he strained his hamstring they be without will daniel sturridge in-form playmaker philippe coutinho however could return to starting lineup in-form playmaker philippe coutinho however could return following his cameo playmaker philippe coutinho could return following his cameo from bench in-form playmaker philippe coutinho could return following his cameo from bench in europa league against albion side playmaker philippe coutinho could return following his cameo from bench in europa league against albion side sure playmaker philippe coutinho could return following his cameo in-form playmaker philippe coutinho could return following his cameo from bench against albion side sure in-form playmaker philippe coutinho could return following his cameo from bench in europa league against albion side sure in-form playmaker philippe coutinho could return following his cameo against albion side sure in-form playmaker philippe coutinho however could return to lineup in-form playmaker philippe coutinho could return following his cameo against albion side in-form playmaker philippe coutinho could return following his cameo from bench against albion side in-form playmaker philippe coutinho could return to starting lineup playmaker philippe coutinho however could return following his cameo playmaker philippe coutinho could return following his cameo against albion side sure in-form playmaker philippe coutinho could return following his cameo from bench playmaker philippe coutinho could return following his cameo from bench in europa league playmaker philippe coutinho however could return to lineup in-form playmaker philippe coutinho could return following his cameo playmaker philippe coutinho could return following his cameo from bench in europa league against albion side playmaker philippe coutinho however could return following his cameo against albion side in-form playmaker philippe coutinho however could return following his cameo against albion side playmaker philippe coutinho could return following his cameo against albion side bench is in europa league playmaker philippe coutinho however could return following his cameo against albion side sure in-form playmaker philippe coutinho however could return following his cameo against albion side sure playmaker philippe coutinho could return following his cameo from bench against albion side playmaker philippe coutinho could return to starting lineup playmaker philippe coutinho could return following his cameo from bench against albion side sure playmaker philippe coutinho could return to lineup in-form playmaker philippe coutinho could return following his cameo from bench in europa league in-form playmaker philippe coutinho could return to lineup playmaker philippe coutinho however could return to starting lineup	Liverpool
1081	15/16	Liverpool	West Brom	he strained his hamstring bench is in europa league	West Brom
1082	15/16	Tottenham Hotspur	Newcastle United	relief was palpable his players performance of hard running his players produced performance his players performance of running his players produced performance of running his players produced performance of hard running unbeaten is in 14 matches tottenham unbeaten in 14 matches tottenham been have outrun by opponents tottenham been have outrun by few opponents tottenham unbeaten in matches tottenham been have outrun by very few opponents tottenham unbeaten in 14 matches	Tottenham Hotspur
1083	15/16	Tottenham Hotspur	Newcastle United	relief was palpable newcastle has manager his players performance of hard running his players produced performance his players performance of running his players produced performance of running his players produced performance of hard running unbeaten is in 14 matches	Newcastle United
1084	15/16	Leicester City	Chelsea	last season has escapees last season has champions	Leicester City
1085	15/16	Leicester City	Chelsea	roles take on chelsea side looking nervously over their shoulders roles take on chelsea side looking nervously last season has escapees roles take on chelsea side looking roles take on chelsea side looking over their shoulders at relegation zone roles take on chelsea side looking over their shoulders roles take on chelsea side roles take on chelsea side looking nervously over their shoulders at relegation zone last season has champions willian is player jose mourinho	Chelsea
1086	15/16	Chelsea	Sunderland	jose mourinho has for time in eight years has sacked jose mourinho has for second time has sacked by chelsea has sacked lies how team reacts jose mourinho has has sacked jose mourinho has has sacked by chelsea has sacked lies just how team reacts has sacked lies team reacts jose mourinho has for time has sacked jose mourinho has for second time in eight years has sacked by chelsea jose mourinho has for second time has sacked jose mourinho has for time in eight years has sacked by chelsea jose mourinho has for second time in eight years has sacked second time is in eight years jose mourinho has for time has sacked by chelsea they need win against opponents hosts rise to occasion guus hiddink take over again on temporary basis guus hiddink take over on temporary basis they desperately need win they need win hosts rise guus hiddink poised guus hiddink take over again on basis they desperately need win against opponents guus hiddink take over on basis	Chelsea
1087	15/16	Chelsea	Sunderland	jose mourinho has for time in eight years has sacked has sacked lies how team reacts jose mourinho has has sacked has sacked lies just how team reacts has sacked lies team reacts jose mourinho has for time has sacked jose mourinho has for second time has sacked jose mourinho has for second time in eight years has sacked second time is in eight years they need win against opponents hosts rise to occasion they desperately need win they need win they desperately need win against opponents	Sunderland
1088	15/16	Everton	Leicester City	goodison park would represent significant test goodison park would represent test league 's goalscorers go head league has leading goalscorers league 's leading goalscorers go head league 's goalscorers go head league 's leading goalscorers go head	Everton
