	Season	HomeTeam	AwayTeam	Sentence	Allocation
1220	15/16	Crystal Palace	Watford	these two teams looked at the end of december they be in contention they be in contention for an unlikely push for europe they be for an unlikely push for europe palace ended a run with a point at swansea palace ended a run both sides be desperate palace ' s need is greater they will have do who is due	Crystal Palace
1221	15/16	Crystal Palace	Watford	these two teams looked at the end of december they be in contention they be in contention for an unlikely push for europe they be for an unlikely push for europe watford stuttered picked both sides be desperate they will have do who is due watford will hope rediscover troy deeney can rediscover their scoring touches odion ighalo can rediscover their scoring touches odion ighalo having failed find troy deeney having failed find	Watford
1222	15/16	Everton	West Brom	everton moving once again everton moving once again in the right direction after recording successive league wins everton moving in the right direction everton moving after recording successive league wins everton could hand a debut everton could hand a debut meanwhile	Everton
1223	15/16	Everton	West Brom	west brom are in stark contrast without a win in their last five in the league west brom are in stark contrast west brom are in their last five in the league west brom are without a win west brom is serious danger pulis ' s side become west brom are short	West Brom
1224	15/16	Norwich City	West Ham United	relegation is looking an increasingly likely prospect that be buoyed in midweek that be buoyed by their dramatic fa cup victory over liverpool that be buoyed inevitably that be buoyed inevitably by their dramatic fa cup victory over liverpool in midweek alex tettey is suspended issues deal with all miss the norwich winger will hope for an opportunity to impress against his former side , with neil ' s side in need of attacking inspiration	Norwich City
1225	15/16	Norwich City	West Ham United	relegation is looking an increasingly likely prospect they take an upwardly mobile west ham side that be buoyed in midweek that be buoyed by their dramatic fa cup victory over liverpool that be buoyed inevitably that be buoyed inevitably by their dramatic fa cup victory over liverpool in midweek west ham have deal issues deal as cheikhou kouyate , winston reid and joey o ' brien issues deal with as cheikhou kouyate , winston reid and joey o ' brien issues deal with all miss the norwich winger is matt jarvis	West Ham United
1226	15/16	Sunderland	Manchester United	he should try swapping a relegation struggle was bad enough the wearside club sacked adam johnson allardyce failed see the then west ham manager left the dutchman incensed	Sunderland
1227	15/16	Sunderland	Manchester United	van gaal thinks got he has got problems at manchester united he should try swapping a relegation struggle was bad enough van gaal failed see the then west ham manager left the dutchman incensed	Manchester United
1228	15/16	Swansea City	Southampton	the team picked points the team picked points in those five games swansea are finding some form swansea undefeated in four , three of them under the new manager francesco guidolin ki sung-yueng could return for them and the on-loan leroy fer ki sung-yueng is keen	Swansea City
1229	15/16	Swansea City	Southampton	fraser forster has concede the team picked points the team picked points in those five games	Southampton
1230	15/16	Arsenal	Leicester City	le professeur outsmart the self-titled thinkerman le professeur outsmart the self-titled thinkerman again all arsene wenger is the only manager so far that were bottom arsenal be confident they can repeat the display	Arsenal
1231	15/16	Arsenal	Leicester City	le professeur outsmart the self-titled thinkerman le professeur outsmart the self-titled thinkerman again leicester look like the side that were bottom for much of last season that were bottom they can repeat the display they cut leicester ' s lead at the top in front of their own fans they cut leicester ' s lead claudio ranieri be plotting another surely claudio ranieri be plotting another claudio ranieri be plotting another however claudio ranieri dazzling win claudio ranieri dazzling win away claudio ranieri keep his side on track for title glory	Leicester City
1232	15/16	Aston Villa	Liverpool	garde ' s team are showing signs at the bottom garde ' s team having lost one garde ' s team were signs he admitted it is a coincidence we are ninth villa are are they are where	Aston Villa
1233	15/16	Aston Villa	Liverpool	garde ' s team are showing signs at the bottom garde ' s team having lost one garde ' s team were signs roberto firmino scoring goals in his last six outings roberto firmino scoring goals jurgen klopp has options with philippe coutinho , daniel sturridge and divock origi back from injury , roberto firmino scoring five goals in his last six outings and christian benteke anxious to face his former club jurgen klopp has options finally jurgen klopp has options he admitted it is a coincidence we are ninth they are where	Liverpool
1234	15/16	Manchester City	Tottenham Hotspur	a defeat would put pellegrini ' s side behind the foxes a defeat would put pellegrini ' s side earlier in the day a defeat would put pellegrini ' s side earlier in the day behind the foxes this kill their title this leave them certainly this leave them the solution is simple city ' s ambitions be boosted following a long-standing calf injury city ' s ambitions be boosted by vincent kompany ' s return city ' s ambitions be boosted by vincent kompany ' s return following a long-standing calf injury	Manchester City
1235	15/16	Manchester City	Tottenham Hotspur	this kill their title this leave them certainly this leave them the solution is simple	Tottenham Hotspur
1236	15/16	Leicester City	Norwich City	city return refreshed after their late defeat at the hands of arsenal and claudio ranieri city return will relish the prospect ranieri be sure riyad mahrez have the quality jamie vardy have the quality	Leicester City
1237	15/16	Leicester City	Norwich City	city return will relish the prospect neil ' s side have conceded 18 neil ' s side taken point from their past six games	Norwich City
1238	15/16	Southampton	Chelsea	southampton conceded a goal southampton conceded a goal in nine hours and 14 minutes of football any side tackle ronald koeman will believe is witness ronald koeman will believe is ronald koeman will believe witness his compatriot is vulnerable st mary can witness a fifth straight home win	Southampton
1239	15/16	Southampton	Chelsea	any side tackle chelsea can build on their impressive cup demolition of manchester city guus hiddink should expect a positive outcome guus hiddink should expect a positive outcome then guus hiddink should expect a positive outcome however his compatriot is vulnerable st mary can witness a fifth straight home win	Chelsea
1240	15/16	Stoke City	Aston Villa	hopes seem snuffed remi garde has tested remi garde has fit remi garde has fit tested an ailing defence be tested by a stoke side that , bolstered by new arrival giannelli imbula , looked to have recovered their potency in the win at bournemouth that bolstered by new arrival giannelli imbula that looked that have recovered their potency that have recovered their potency in the win that have recovered their potency at bournemouth	Stoke City
1241	15/16	Stoke City	Aston Villa	aston villa been stirring fight hopes seem snuffed remi garde has tested remi garde has fit remi garde has fit tested rudy gestede fit again gabriel agbonlahor fit again that bolstered by new arrival giannelli imbula that looked that have recovered their potency that have recovered their potency in the win that have recovered their potency at bournemouth	Aston Villa
1242	15/16	Watford	Bournemouth	watford is both watford sit a pleasing sight above the relegation places , quique sanchez flores be the happier they win on saturday they will have points be	Watford
1243	15/16	Watford	Bournemouth	bournemouth is both bournemouth sit a pleasing sight above the relegation places , they win on saturday they will have points be eddie howe needs spark	Bournemouth
1244	15/16	West Brom	Crystal Palace	neither separated by goal difference neither are safe the fa cup shenanigans was a big boost league form been diabolical they won since the turn of the year they losing six they build at tottenham they build on their cup win at tottenham they build on their cup win	West Brom
1245	15/16	West Brom	Crystal Palace	neither separated by goal difference neither are safe the fa cup shenanigans was a big boost league form been diabolical they won since the turn of the year they losing six they build at tottenham they build on their cup win at tottenham they build on their cup win	Crystal Palace
1246	15/16	West Ham United	Sunderland	return provides the human interest he receives the warmth change fought the stakes being fought for west ham have a habit the champions league places move when into view the champions league places move into view the champions league places move when victory here might exert some pressure victory here might exert some pressure on those above his side have earned vital points aid	West Ham United
1247	15/16	West Ham United	Sunderland	return provides the human interest he receives the warmth change fought the stakes being fought for the champions league places move when into view the champions league places move into view the champions league places move when victory here might exert some pressure victory here might exert some pressure on those above allardyce is sunderland allardyce can take encouragement have his side have earned vital points aid	Sunderland
1248	15/16	Tottenham Hotspur	Swansea City	it is tempting tottenham slipped in the fa cup against crystal palace they are in a rare grove they remain perched they have stabilised are they are determined	Tottenham Hotspur
1249	15/16	Tottenham Hotspur	Swansea City	francesco guidolin been during the week francesco guidolin been under the weather during the week francesco guidolin been under the weather it is tempting they are in a rare grove swansea have found goals hard they remain perched they have stabilised are they are determined	Swansea City
1250	15/16	Manchester United	Arsenal	manchester united have the chance the feat would mark an excellent seven days neither were in the league neither given victory is drawn victory is lost victory is were victory is are victory is given victory is lost drawn were given are	Manchester United
1251	15/16	Manchester United	Arsenal	the feat would mark an excellent seven days wenger ' s side have lost after beating them before the fa cup round wenger ' s side drawn their past two matches neither were in the league neither given wenger ' s side are points victory is drawn victory is lost victory is were victory is are victory is given victory is lost drawn were given are	Arsenal
1252	15/16	Chelsea	Stoke City	these sides met banned these sides met were banned these sides met were chelsea were in crisis their manager was banned from the stadium how times change the london club are now in excellent form the london club are in excellent form the london club are now the man is guus hiddink the man can do no wrong they can win at stamford bridge for the first time since 1974 they can win at stamford bridge they can win for the first time since 1974 john terry remains especially john terry remains especially out john terry remains out john terry injured	Chelsea
1253	15/16	Chelsea	Stoke City	these sides met banned these sides met were banned these sides met were their manager was banned from the stadium how times change the london club are now in excellent form the london club are in excellent form the london club are now the man can do no wrong stoke will prove a stern test stoke will prove a stern test however stoke should sense win they can win for the first time since 1974	Stoke City
1254	15/16	Everton	West Ham United	a top-four finish is realistic we are with 10 games we are one point behind with 10 games we are one point behind we go we have a chance so we have a chance everton , eight points further back have no such hope it will take a flourish regarded the new investment brings extra pressure	Everton
1255	15/16	Everton	West Ham United	slaven bilic admitted is a top-four finish is realistic we are with 10 games we are one point behind with 10 games we are one point behind we go we have a chance so we have a chance it will take a flourish regarded the new investment brings extra pressure	West Ham United
1256	15/16	Manchester City	Aston Villa	manchester city have the perfect opportunity manuel pellegrini rouse city beat remi garde be forgiven meanwhile for dreading his side ' s visit to the etihad and the proposition of being cut further adrift at the foot of the table remi garde be forgiven meanwhile remi garde be forgiven for dreading his side ' s visit to the etihad and the proposition of being cut further adrift at the foot of the table	Manchester City
1257	15/16	Manchester City	Aston Villa	remi garde be forgiven meanwhile	Aston Villa
1258	15/16	Newcastle United	Bournemouth	"who feel the endgame some suspect be this be his last stand he remains optimistic he can confound the doubters by leading his team out of the bottom three he can confound the doubters fabricio coloccini injured still jonjo shelvey continues injured the home captain hoping bring the england midfielder can bring needed "" edge to the role"	Newcastle United
1259	15/16	Newcastle United	Bournemouth	"who feel the endgame some suspect be this be his last stand he remains optimistic he can confound the doubters by leading his team out of the bottom three he can confound the doubters bournemouth be anxious jonjo shelvey continues injured the home captain hoping bring the england midfielder can bring needed "" edge to the role"	Bournemouth
1260	15/16	Southampton	Sunderland	the omens hovering just above the relegation zone with just one win in seven the omens bode well they make the long trip they were thrashed where they have won games they be through a concussion ronald koeman will miss his hamstrung striker shane long sit one also	Southampton
1261	15/16	Southampton	Sunderland	the omens hovering just above the relegation zone with just one win in seven the omens bode well for sunderland the omens bode well the omens bode for sunderland they were thrashed where they have won games they be through a concussion they be without midfield enforcer lee cattermole they be without midfield enforcer lee cattermole through a concussion ronald koeman will miss his hamstrung striker	Sunderland
1262	15/16	Swansea City	Norwich City	which showed swansea city focusing they be delighted francesco guidolin be present his side be very confident they can inflict another defeat alex neil needs points allay	Swansea City
1263	15/16	Swansea City	Norwich City	which were focusing on hosting norwich city they be delighted his side be very confident they can inflict another defeat alex neil needs points allay	Norwich City
1264	15/16	Tottenham Hotspur	Arsenal	this is a biggie this is derby the biggest north london derby in recent memory this showdown stood this showdown shape the title race tottenham slipped at west ham tottenham slipped at west ham in midweek tottenham slipped in midweek their belief is strong they are favourites another defeat bear thinking	Tottenham Hotspur
1265	15/16	Tottenham Hotspur	Arsenal	this is a biggie this is derby the biggest north london derby in recent memory arsene wenger remarked never before in his 19 and a half years at arsenal this showdown stood this showdown shape the title race their belief is strong they are favourites arsenal ' s form has deserted them another defeat bear thinking	Arsenal
1266	15/16	Watford	Leicester City	goalkeeper ben foster denied maximum points in midweek goalkeeper ben foster denied maximum points heurelho gomes be keen he made a costly mistake the brazilian goalkeeper will have excel the hosts are disrupt ighalo ' s six-game goal drought continues especially	Watford
1267	15/16	Watford	Leicester City	goalkeeper ben foster denied maximum points in midweek goalkeeper ben foster denied maximum points he made a costly mistake he gift leicester with victory at the king power stadium he gift leicester in november he gift leicester the brazilian goalkeeper will have excel the hosts are disrupt	Leicester City
1268	15/16	Crystal Palace	Liverpool	they beaten palace at selhurst they beaten palace they beaten palace since 1997 they beaten palace in the league the eagles are in freefall the premier league season be bottom	Crystal Palace
1269	15/16	Crystal Palace	Liverpool	victory gave jurgen klopp a much-needed boost inconsistency has stalked his liverpool side inconsistency has stalked his liverpool side thus far the premier league season be bottom	Liverpool
1270	15/16	West Brom	Manchester United	they are points west brom welcome them west brom having won their past three matches pulis ' s side held ranieri ' s leaders on tuesday pulis ' s side held ranieri ' s leaders pulis ' s side held ranieri ' s leaders to a draw pulis ' s side be a tough proposition this may end in a draw	West Brom
1271	15/16	West Brom	Manchester United	they are points this may end in a draw	Manchester United
1272	15/16	Bournemouth	Swansea City	this match have felt hugely important it be still bournemouth have taken an impressive haul from their last three matches who continues recover	Bournemouth
1273	15/16	Bournemouth	Swansea City	this match have felt hugely important it be still swansea have won two swansea be still without head coach francesco guidolin , who continues to recover from a chest infection swansea be still swansea be without head coach francesco guidolin , who continues to recover from a chest infection who continues recover coach alan curtis deputise again coach alan curtis deputise again in the dugout coach alan curtis deputise in the dugout	Swansea City
1274	15/16	Norwich City	Manchester City	it seems are norwich city are a win victory be delayed much longer though victory be delayed though victory be delayed much longer neil ' s side wish dwell their woeful league run was prefaced victory would apply a degree this looks like a game neither team can really afford to lose neither team afford lose	Norwich City
1275	15/16	Norwich City	Manchester City	it seems are norwich city are a win victory be delayed much longer though victory be delayed though victory be delayed much longer their woeful league run was prefaced victory would apply a degree this looks like a game neither team can really afford to lose neither team afford lose	Manchester City
1276	15/16	Stoke City	Southampton	who have taken from their past four matches who have taken from their past four matches after securing an impressive 1-1 draw with chelsea last time out who have taken after securing an impressive 1-1 draw with chelsea last time out stoke appear be mark hughes will welcome southampton to the britannia mark hughes will welcome southampton so mark hughes will welcome southampton he endeavours his defence remains resolute the italian ' s goal drought stretches back to the beginning of november	Stoke City
1277	15/16	Stoke City	Southampton	who have taken from their past four matches who have taken from their past four matches after securing an impressive 1-1 draw with chelsea last time out who have taken after securing an impressive 1-1 draw with chelsea last time out mark hughes will welcome southampton to the britannia mark hughes will welcome southampton so mark hughes will welcome southampton he endeavours ronald koeman hope remains finds ronald koeman hope remains ronald koeman hope finds his defence remains resolute graziano pelle finds the net finally graziano pelle finds the net once more as the italian ' s goal drought stretches back to the beginning of november graziano pelle finds the net the italian ' s goal drought stretches back to the beginning of november	Southampton
1278	15/16	Aston Villa	Tottenham Hotspur	the premier league is his priority aston villa be obliging opponents aston villa be obliging opponents on the face of it aston villa picked a stronger side aston villa picked a stronger side in dortmund	Aston Villa
1279	15/16	Aston Villa	Tottenham Hotspur	mauricio pochettino made clear the premier league is his priority pochettino have rested players against the premier league ' s bottom club pochettino have rested players spurs need get	Tottenham Hotspur
1280	15/16	Leicester City	Newcastle United	that said expectations be low an unlikely positive result could prove so claudio ranieri will see victory meanwhile claudio ranieri will see victory as a must as their closest threat claudio ranieri will see victory tottenham should earn points see	Leicester City
1281	15/16	Leicester City	Newcastle United	rafa benitez has the unenviable task that said expectations be low an unlikely positive result could prove so tottenham should earn points see	Newcastle United
1282	15/16	Chelsea	West Ham United	the champions have nothing seemingly the champions have nothing even the champions have nothing chelsea are points who are two points off the top four chelsea have a selection headache chelsea suspended	Chelsea
1283	15/16	Chelsea	West Ham United	slaven bilic has warned his players take the champions have nothing seemingly the champions have nothing even the champions have nothing who are two points off the top four bilic is wary west ham will need be	West Ham United
1284	15/16	Crystal Palace	Leicester City	selhurst park been a graveyard pardew ' s side have belied their struggles reach palace be a potential banana skin this is no time	Crystal Palace
1285	15/16	Crystal Palace	Leicester City	leicester city be been claudio ranieri had a sausage claudio ranieri had a sausage of all things , named after him this week by a local butcher but the leicester manager knows is this is no time	Leicester City
1286	15/16	Everton	Arsenal	it be cynical his opponents remain strong title contenders a run has presented an all too familiar problem they be facing suarez they be facing messi at least they be facing messi they be facing neymar they be facing suarez at least they be facing neymar at least they co they arrive at everton , who have won only one of the past 17 league meetings between the sides and lost seven times already at home in the premier league this season they arrive when at everton , who have won only one of the past 17 league meetings between the sides and lost seven times already at home in the premier league this season they arrive when who have won one who lost times at home who lost times in the premier league who lost times who lost times already	Everton
1287	15/16	Everton	Arsenal	it be cynical arsenal have commenced their annual reverse arsenal have commenced their annual reverse into fourth place roberto martinez claims remain presented roberto martinez claims presented roberto martinez claims remain his opponents remain strong title contenders a run has presented an all too familiar problem they be facing suarez they be facing messi at least they be facing messi they be facing neymar they be facing suarez at least they be facing neymar at least they co they arrive when who have won one who lost times at home who lost times in the premier league who lost times who lost times already	Arsenal
1288	15/16	Swansea City	Aston Villa	"it is easy francesco guidolin has described this fixture as the "" most important game of the season "" for swansea city francesco guidolin has described this fixture why francesco guidolin has described this fixture another three points will take the welsh club to 36 another three points put relegation fears surely andre ayew is sidelined with an ankle injury gylfi sigurdsson is in fine form swansea be confident they have lost five they need a minor miracle"	Swansea City
1289	15/16	Swansea City	Aston Villa	it is easy another three points will take the welsh club to 36 another three points put relegation fears surely andre ayew is sidelined with an ankle injury they have lost five as for aston villa they have lost five they need a minor miracle	Aston Villa
1290	15/16	Watford	Stoke City	watford capped a great season watford capped a great season back in the top flight they secured their passage against arsenal they secured their passage they secured their passage into the fa cup semi-finals flores ' s side look turn city travel will know be city travel be tough	Watford
1291	15/16	Watford	Stoke City	they secured their passage against arsenal they secured their passage they secured their passage into the fa cup semi-finals city travel will know be city travel be tough	Stoke City
1292	15/16	West Brom	Norwich City	west brom are one the run has moved them the run has moved them away from danger the run has moved them at the bottom	West Brom
1293	15/16	West Brom	Norwich City	the run has moved them the run has moved them away from danger the run has moved them at the bottom norwich city are still deep in trouble norwich city are still norwich city are deep in trouble neil ' s side won despite an improved showing against manchester city neil ' s side won since 2 january neil ' s side won despite an improved showing against manchester city since 2 january neil ' s side are still neil ' s side are still among the relegation favourites neil ' s side are among the relegation favourites	Norwich City
1294	15/16	Manchester City	Manchester United	manchester city kill qualification hopes manchester city kill qualification hopes all but manchester city kill qualification hopes by winning the 171st derby this boost their bid this boost their bid also who are third this is the story	Manchester City
1295	15/16	Manchester City	Manchester United	this boost their bid this boost their bid also who are third van gaal could do without a defeat van gaal could do after united ' s exit from the europa league at liverpool ' s hands van gaal could do after united ' s exit from the europa league at liverpool ' s hands without a defeat this is the story	Manchester United
1296	15/16	Newcastle United	Sunderland	the most important north-east derby features managers possibly the most important north-east derby features managers the most important north-east derby features managers with a history of conflict the most important north-east derby features managers effectively on missions to relegate each other the big sam-rafa technical subplot promises edginess rafael benitez is more concerned benitez emulate paolo di canio	Newcastle United
1297	15/16	Newcastle United	Sunderland	the most important north-east derby features managers possibly the most important north-east derby features managers the most important north-east derby features managers with a history of conflict the most important north-east derby features managers effectively on missions to relegate each other the big sam-rafa technical subplot promises edginess four saw sunderland four saw sunderland by peculiar coincidence four saw sunderland under the charge of a new manager presiding over his second game after losing the first	Sunderland
1298	15/16	Southampton	Liverpool	a repeat be welcome who remain within striking distance of the top four southampton have tightened since then graziano pelle back having had rescinded his red card rescinded they have the firepower all is set for a high-stakes , high-quality duel	Southampton
1299	15/16	Southampton	Liverpool	liverpool enjoyed that at st mary liverpool enjoyed that a repeat be welcome who remain within striking distance of the top four his red card rescinded they have the firepower all is set for a high-stakes , high-quality duel	Liverpool
1300	15/16	Tottenham Hotspur	Bournemouth	tottenham hotspur focus now solely on their pursuit of a first league title in 55 years tottenham hotspur focus on their pursuit of a first league title tottenham hotspur focus solely tottenham hotspur focus in 55 years tottenham hotspur focus now their involvement curtailed in midweek the hosts will restore their full-back pairing the hosts will restore hope the hosts will restore harry kane the hosts will restore mousa dembele the hosts will restore christian eriksen they hit running the ground running win has eased a few nerves the time is now	Tottenham Hotspur
1301	15/16	Tottenham Hotspur	Bournemouth	their involvement curtailed in midweek bournemouth be pushovers howe ' s side are mid howe ' s side have won their last three matches the hosts will restore their full-back pairing the hosts will restore hope the hosts will restore mousa dembele they hit running the ground running win has eased a few nerves the time is now	Bournemouth
1302	15/16	Arsenal	Watford	they have be these sides met in the fa cup , when watford worked incredibly hard to knock out an arsenal side that looked far too complacent on the day these sides met only three weeks ago these sides met at the emirates only three weeks ago in the fa cup , when watford worked incredibly hard to knock out an arsenal side that looked far too complacent on the day these sides met at the emirates watford knock an arsenal side that looked too complacent	Arsenal
1303	15/16	Arsenal	Watford	watford are enjoying a great season watford are enjoying a great season under quique sanchez flores they have be these sides met in the fa cup , when watford worked incredibly hard to knock out an arsenal side that looked far too complacent on the day these sides met only three weeks ago watford worked when incredibly hard watford worked when watford worked incredibly hard watford knock an arsenal side that looked too complacent	Watford
1304	15/16	Aston Villa	Chelsea	anyone believe are aston villa are capable they are adrift they go they looked resigned it makes this early kick-off something	Aston Villa
1305	15/16	Aston Villa	Chelsea	anyone believe are they are adrift they go they looked resigned it makes this early kick-off something chelsea have a nine-point gap chelsea making an ideal time guus hiddink give a portion	Chelsea
1306	15/16	Bournemouth	Manchester City	bournemouth travelled for a five-day training camp over the international break bournemouth travelled to dubai for a five-day training camp over the international break bournemouth travelled to dubai eddie howe is keen it ' s one we want host we want host put we want put we want ' s howe said want	Bournemouth
1307	15/16	Bournemouth	Manchester City	pellegrini ' s manchester city travel to the south coast pellegrini ' s manchester city travel in search of their first win pellegrini ' s manchester city travel in four matches pellegrini ' s manchester city travel to the south coast in search of their first win in four matches city ' s hopes look precarious the home side perform after a 5-1 defeat at the etihad in october it ' s one we want host we want host put we want put we want ' s	Manchester City
1308	15/16	Liverpool	Tottenham Hotspur	liverpool cast their maddening inconsistency liverpool confirmed inside 90 minutes liverpool confirmed inside 90 minutes at southampton liverpool confirmed at southampton a trip represents a fundamental test a trip represents a fundamental test regardless the visitors have won one the visitors have collected points the visitors have collected points from the last 63 available at anfield that neglected sign	Liverpool
1309	15/16	Liverpool	Tottenham Hotspur	a trip represents a fundamental test a trip represents a fundamental test regardless the visitors have won one the visitors have collected points that neglected sign mauricio pochettino has the talent mauricio pochettino has the talent with harry kane one goal short of a premier league record for spurs and dele alli confronting the club that neglected to sign him	Tottenham Hotspur
1310	15/16	Norwich City	Newcastle United	defeat would leave both defeat would leave both even deeper defeat would leave both in relegation trouble the first test be conquer be be particularly true strikers have scored regularly whichever is deployed by alex neil strikers is sure	Norwich City
1311	15/16	Norwich City	Newcastle United	defeat would leave both defeat would leave both even deeper defeat would leave both in relegation trouble the first test be conquer be be particularly true strikers have scored regularly strikers is sure	Newcastle United
1312	15/16	Stoke City	Swansea City	stoke city been playing well stoke city been playing of late stoke city been playing well of late both need another victory for different reasons both need another victory stoke hoping still for europa league qualification stoke hoping still stoke hoping for europa league qualification mark hughes be hoping be marko arnautovic is a scorer marko arnautovic be the difference	Stoke City
1313	15/16	Stoke City	Swansea City	swansea city been playing of late swansea city been playing well of late swansea city been playing well both need another victory for different reasons both need another victory the swans need the points	Swansea City
1314	15/16	Sunderland	West Brom	a run has undermined the improvements it means need we need score allardyce said means who will aim put what threatens prove anything will escalate wearside relegation concerns	Sunderland
1315	15/16	Sunderland	West Brom	a run has undermined the improvements it means need we need score what threatens prove west brom enjoy the luxury	West Brom
1316	15/16	West Ham United	Crystal Palace	games have transformed them games have transformed them into unlikely relegation candidates they have won each who have their eyes who have their eyes on the champions league	West Ham United
1317	15/16	West Ham United	Crystal Palace	alan pardew returns to a former club in desperate need of points alan pardew returns in desperate need of points alan pardew returns to a former club crystal palace were fifth games have transformed them games have transformed them into unlikely relegation candidates they have won each palace are sure who have their eyes who have their eyes on the champions league	Crystal Palace
1318	15/16	Leicester City	Southampton	leicester city will hope serve a fourth successive win will serve extend even a home game will feel certainly like an opportunity even a home game will feel certainly even a home game will feel like an opportunity the hosts must perform for once the hosts must perform after tottenham hotspur ' s daunting trip to anfield the hosts must perform for once after tottenham hotspur ' s daunting trip to anfield the likes have returned to the king power stadium buoyed by their impact over the international break a repeat would do the home side very well a repeat would do the home side indeed a repeat would do the home side	Leicester City
1319	15/16	Leicester City	Southampton	a fourth successive win will serve extend even a home game will feel certainly like an opportunity even a home game will feel certainly even a home game will feel like an opportunity the hosts must perform for once the hosts must perform after tottenham hotspur ' s daunting trip to anfield the hosts must perform for once after tottenham hotspur ' s daunting trip to anfield a repeat would do the home side very well a repeat would do the home side indeed a repeat would do the home side	Southampton
1320	15/16	Manchester United	Everton	manchester united have league matches manchester united have league matches after the exhilaration of the 1-0 derby win at manchester city manchester united qualify thus manchester united qualify for the champions league manchester united qualify thus for the champions league van gaal said downed it was a complete display van gaal would love a repeat how van gaal would love a repeat whose 38 points is a poor yield	Manchester United
1321	15/16	Manchester United	Everton	everton were downed at goodison park everton were downed at goodison park in october ' s reverse fixture and everton were downed in october ' s reverse fixture and it was a complete display whose 38 points is a poor yield	Everton
1322	15/16	Aston Villa	Bournemouth	it may seem aston villa are bidding complete villa have crumbled since then villa sacking remi garde villa sacking tim sherwood all hopes are more mathematical the drop be confirmed on saturday	Aston Villa
1323	15/16	Aston Villa	Bournemouth	it may seem all hopes are more mathematical the drop be confirmed on saturday	Bournemouth
1324	15/16	Crystal Palace	Norwich City	successive home games would represent an opportunity successive home games would represent an opportunity for most clubs tantalisingly in touch of safety everton ' s focus is come pardew ' s side have lost their last six matches at selhurst park and norwich pardew ' s side have lost their last six matches yet pardew ' s side have lost their last six matches pardew ' s side are in their best form of the season pardew ' s side threatening break pardew has called for a raucous atmosphere this pocket be gripped by nerves	Crystal Palace
1325	15/16	Crystal Palace	Norwich City	successive home games would represent an opportunity successive home games would represent an opportunity for most clubs tantalisingly in touch of safety neil ' s side are one everton ' s focus is come this pocket be gripped by nerves	Norwich City
1326	15/16	Manchester City	West Brom	pellegrini ' s side be buzzing after the 2-2 draw at psg in wednesday ' s champions league quarter-final first leg this bounce be required dismantle that could feature a four-man defence manager ' s penchant is this was faced manchester united faced what they lost when gaal ' s side are on sunday gaal ' s side are at tottenham hotspur on sunday gaal ' s side are at tottenham hotspur this is a chance	Manchester City
1327	15/16	Manchester City	West Brom	they welcome west brom this bounce be required dismantle that could feature a four-man defence manager ' s penchant is this was faced they lost at the hawthorns they lost when at the hawthorns they lost when gaal ' s side are on sunday gaal ' s side are at tottenham hotspur on sunday gaal ' s side are at tottenham hotspur this is a chance	West Brom
1328	15/16	Southampton	Newcastle United	they are make they could do with getting their first away point - or three - of the year at st mary ' s southampton ' s central defenders are capable the hosts will fancy their chances	Southampton
1329	15/16	Southampton	Newcastle United	the rafa benitez effect has take the rafa benitez effect are running out of time and matches they are make they could do with getting their first away point - or three - of the year at st mary ' s aleksandar mitrovic made a strong case for a starting spot , scoring twice at norwich last week after coming off the bench aleksandar mitrovic made a strong case the hosts will fancy their chances	Newcastle United
1330	15/16	Swansea City	Chelsea	the omens are drawn the omens are combined the omens are drawn combined sigurdsson ' s three goals have lifted swansea sigurdsson ' s three goals have lifted swansea from imminent danger and the icelander ' s semblance of his former brilliance sigurdsson ' s three goals have lifted swansea however sigurdsson ' s three goals could upset the odds	Swansea City
1331	15/16	Swansea City	Chelsea	chelsea drawn blank chelsea drawn blank in the premier league chelsea combined with the fact that guus hiddink is yet to lose a league game since returning guus hiddink is lose the omens are drawn the omens are combined the omens are drawn combined sigurdsson ' s three goals could upset the odds	Chelsea
1332	15/16	Watford	Everton	the spaniard will see watford the spaniard will see watford however who are as a golden opportunity to gain momentum ahead of their season-defining fa cup semi-final who are on an even worse run of four defeats as a golden opportunity to gain momentum ahead of their season-defining fa cup semi-final who are on an even worse run of four defeats quique sanchez flores will feel exactly the same watford have a semi final	Watford
1333	15/16	Watford	Everton	roberto martinez be perturbed by everton ' s run of three successive league defeats who are as a golden opportunity to gain momentum ahead of their season-defining fa cup semi-final who are on an even worse run of four defeats as a golden opportunity to gain momentum ahead of their season-defining fa cup semi-final who are on an even worse run of four defeats	Everton
1334	15/16	West Ham United	Arsenal	west ham began their season west ham began their season with a 2-0 victory at the emirates stadium and their chances could rest since the 2006-07 season	West Ham United
1335	15/16	West Ham United	Arsenal	their chances could rest since the 2006-07 season their chances could rest on completing their first league double over arsenal since the 2006-07 season their chances could rest on completing their first league double over arsenal arsenal are in good form arsenal thrashing everton in their previous two matches arsenal thrashing watford arsenal thrashing watford in their previous two matches arsenal thrashing everton arsenal would keep their title	Arsenal
