	HomeTeam	AwayTeam	HomeGoals	AwayGoals	Date	Season	Commentary	Result	sentiment
700	Liverpool	Watford	2	0	08/05/2016	16	The Europa League final may be Liverpool’s focus, and Jürgen Klopp has confirmed the intensity of Thursday’s semi-final against Villarreal will influence his selection against Watford, but cup final places and the desire to finish higher than eighth should provide sufficient motivation at Anfield. Klopp cites the 3-0 defeat at Vicarage Road as one of the worst displays of his Liverpool tenure and will not want his players bullied again by Quique Sánchez Flores’s team. Andy Hunter	1	-0.011066019535064697,0.9976814985275269
701	Manchester City	Arsenal	2	2	08/05/2016	16	Manchester City know if Manchester United and West Ham United lose their respective matches then victory over Arsenal secures a place in next season’s Champions League. For the away side, a draw for each of the Uniteds means Arsenal cannot be overtaken in their quest for a place in the top four. Whatever the results beforehand, expect both sides to go for the win their instincts demand. Jamie Jackson	0	0.9353877902030945,0.997517466545105
702	Tottenham Hotspur	Southampton	1	2	08/05/2016	16	There is not, generally, a massive difference between coming in second rather than third but, for Tottenham, it would mean the world. The disappointment of their collapsed Premier League title push is still fresh but there remains the significant matter of finishing above Arsenal for the first time since 1994-95. Tottenham have guaranteed themselves a place in the top three but the runners-up spot would ensure that they finally enjoy supremacy in their neighbourhood. Southampton’s motivation continues to be Europa League qualification. David Hytner	-1	0.8349144756793976,0.9936561584472656
703	Arsenal	Aston Villa	4	0	15/05/2016	16	Arsenal have an outside chance of finishing second, which they have not done since 2004-05 and so it is possible that a campaign marked by frustration and volatility could end on something of a positive. It would be sweet for them if they could pip Tottenham and finish above them as they always do but thoughts have already turned to next season. The mood and the attendance at the Emirates will be interesting. Villa just want it all to stop. David Hytner	1	0.45427878697713214,-0.9996224641799927
704	Chelsea	Leicester City	1	1	15/05/2016	16	The football at Stamford Bridge will almost feel incidental. More enticing will be the joyous reception granted the returning Claudio Ranieri with Roman Abramovich, the man who sacked him back in 2004, potentially watching on from his box in the West stand. Then there will be the accolades for Leicester City’schampions, and a second farewell to Guus Hiddink. Beyond that, the locals will merely be thankful this trying campaign is finally over. Dominic Fifield	0	-0.3001093069712321,0.8264768123626709
705	Everton	Norwich City	3	0	15/05/2016	16	An afternoon with David Unsworth, Joe Royle and Duncan Ferguson sounds more like a sportsman’s dinner than a Premier League fixture but the trio of ex-Evertonians will lift Goodison Park’s mood following the sacking of Roberto Martínez. The visit of relegated Norwich City would have been a mutinous, horrible affair had Martínez been kept on for one more game and it will be revealing if his former players suddenly show more commitment than they have done in recent weeks. Andy Hunter	1	0.9993892908096313,-0.9958459734916687
706	Newcastle United	Tottenham Hotspur	5	1	15/05/2016	16	Tottenham require a point to secure second place and finish above Arsenal for the first time since the 1994-95 season. Rafael Benítez, though, wants to extend already relegated Newcastle’s five-game unbeaten run on an afternoon when home fans are planning to serenade the Spaniard in the hope of persuading him to stick around next season and lead them out of the second tier. Tyneside’s Evening Chronicle devoted Friday’s front page to imploring Benítez to stay but some fear Everton might steal him. Louise Taylor	1	-0.16891250014305115,0.9848445057868958
707	Southampton	Crystal Palace	4	1	15/05/2016	16	Six wins from their last eight games have propelled Southampton up the table and they know victory tomorrow could be enough for them to steal sixth, and even possibly fifth place. Alan Pardew returns to a club where he had perhaps his least impressive spell in management with next Saturday’s FA Cup final on his mind, even more so after Joe Ledley’s unfortunate leg-break against Stoke last week, so an under-strength Crystal Palace side is a distinct possibility. Paul Chronnell	1	0.9985295534133911,-0.5331272482872009
708	Stoke City	West Ham United	2	1	15/05/2016	16	Victory for West Ham will ensure that they qualify for the Europa League and they could finish fifth if Manchester United slip up against Bournemouth. But will Slaven Bilic’s side be emotionally drained after their dramatic victory over United in the final game at Upton Park on Tuesday? Stoke City will be eager to end on a high and hold on to their place in the top 10 after picking up two points from their past six games. Jacob Steinberg	1	0,0.9986973404884338
709	Swansea City	Manchester City	1	1	15/05/2016	16	West Ham’s late heroics on Tuesday night put Manchester City’s destiny back in their own hands and avoiding defeat tomorrow will suffice for them to finish in fourth place, even if hoping for Arsenal to lose at home to Aston Villa to have a chance of third may be pushing it. There were times this season when being comfortably safe on the last day looked highly unlikely for Swansea, and while the decision to award Francesco Guidolin the job full-time this week was a surprise, it was a deserved one. The Italian has probably done enough since succeeding Garry Monk to deserve a crack at a season from the start. Paul Chronnell	0	0.9976858198642731,0.9959444403648376
710	Watford	Sunderland	2	2	15/05/2016	16	One club, the fifth biggest in the league if ranked by stadium capacity, is delighted just to have avoided relegation; the other, recently promoted and 18th in the same rankings, is so disappointed to have spent the season in mid-table that they have just disposed of their manager. Sunderland will come 17th whatever happens but go into the gameare on a wave of survivalist euphoria; Watford could finish as low as 16th or as high as 11th, a difference of £6,180,415 in “merit payments”, but motivation may still be an issue. Simon Burnton	0	0.9682360291481018,-0.8721274137496948
711	West Brom	Liverpool	1	1	15/05/2016	16	With Liverpool’s focus very much on Wednesday’s Europa League final against Sevilla in Basel, Jürgen Klopp is likely to name an under-strength side for the final league game. That could help Tony Pulis’s attempts to deliver some entertainment to Albion fans in their final match of a season in which they have steered clear of trouble but had precious few reasons to cheer. Paul Doyle	0	-0.9919773936271667,-0.9732243418693542
712	Manchester United	Bournemouth	3	1	17/05/2016	16	The question for Manchester United fans is simple and painful: how did it come to needing to beat Bournemouth and Manchester City to lose at Swansea to qualify for the Champions League? This is the barest of requirements for the United behemoth and expect Louis van Gaal’s job to be severely scrutinised should they end the season, as they begin Sunday as favourites to do, outside the top four. Jamie Jackson	1	-0.9990155696868896,0
713	Burnley	Swansea City	0	1	13/08/2016	17	This already has the feel of a game that will set the tone for both clubs’ fortunes. Burnley should give a debut to Johann Berg Gudmundsson but he is their only outfield signing so far – Aston Villa’s Ashley Westwood may follow – and there are concerns that last season’s Championship winners are thin on numbers and quality. Swansea must adjust to losing Ashley Williams and André Ayew in quick succession and the match comes too soon for record signing Borja Bastón. Both squads should look stronger at the month’s end but a negative start could be hard to claw back. Nick Ames	-1	-0.33275143305460614,-0.9947590231895447
714	Crystal Palace	West Brom	0	1	13/08/2016	17	On paper this game between two of last season’s three lowest scoring sides may suggest a shortage of goals but their most recent meeting, at The Hawthorns in February, was a 3-2 classic. Yannick Bolasie looks to be on his way out of Palace but Alan Pardew expects him to be involved here, while Saido Berahino is in the visitors’ squad despite a chance he will move to Selhurst Park. Alan Smith	-1	-0.9984708428382874,0.991707980632782
715	Everton	Tottenham Hotspur	1	1	13/08/2016	17	Two teams that a season ago may have considered themselves equals come into the new campaign worlds apart. Ronald Koeman is in the process of rebuilding a squad that is lacking defensively, while Mauricio Pochettino will hope for further development from his talented young group. Everton have drawn their past three opening games 2-2, and a fourth would see them reach eight winless matches against Tottenham. Conor Matchett	0	0.7962530553340912,0
716	Hull City	Leicester City	2	1	13/08/2016	17	Leicester City could hardly face an easier opening to their title defence. Managerless Hull City, with only 13 fit professionals, look ripe for the taking. The home side will be particularly short in defence, with three centre-backs – Alex Bruce, Harry Maguire and the captain, Michael Dawson – injured, as well as the goalkeeper Alan McGregor. Suspension means Robert Huth is the only notable absentee for Leicester, who may give a debut to Ahmed Musa. Paul Macinnes	1	-0.020449399948120117,-0.990294873714447
717	Manchester City	Sunderland	2	1	13/08/2016	17	However much Pep Guardiola tries to downplay it, all eyes watch the impact he will make. For now, with Vincent Kompany injured, he welcomes David Moyes’s side with a defence featuring new signing John Stones plunged straight in, so a win by any manner will do. Yet given the club’s riches and the 45-year-old’s pedigree there is no excuse for Guardiola not to have City as serious contenders. The missions starts here. Jamie Jackson	1	0.49623903632164,0
718	Middlesbrough	Stoke City	1	1	13/08/2016	17	Back in the Premier League after a seven-year exile, Middlesbrough should showcase several of the nine new faces Aitor Karanka has imported to the Riverside this summer. Boro fans will be keen to take a first look at Víctor Valdés, Álvaro Negredo, Marten de Roon et al, while Joe Allen is set to make his Stoke debut following a £13m move from Liverpool. Given that Karanka’s side conceded only eight Championship goals at home last season Mark Hughes must trust his strikers are wearing their shooting boots. Louise Taylor	0	0.9938687980175018,0
719	Southampton	Watford	1	1	13/08/2016	17	Both clubs go into the new season with new managers for the first time since Alan Pardew and Malky Mackay were in charge of the respective clubs. Frenchman Claude Puel has joined Southampton while Italian maverick Walter Mazzarri takes charge of his first competitive match at Watford. The Saints are unbeaten in their past five against the visitors, and will be aiming to continue that run. Conor Matchett	0	0.9982389211654663,0
720	Arsenal	Liverpool	3	4	14/08/2016	17	Arsène Wenger is expected to be without a number of players on fitness grounds and he will be forced to field a makeshift central defensive partnership. It is easy to feel that the new season has come too soon for him and Arsenal, and Liverpool, who have injury concerns of their own, will seek to heighten the nagging anxiety at the Emirates. They do, however, have a poor away record against Arsenal, winning only once in 20 matches across 15 years. David Hytner	-1	-0.9990909496943156,0
721	Bournemouth	Manchester United	1	3	14/08/2016	17	José Mourinho’s penultimate match in charge of Chelsea ended in a chastening defeat by Bournemouth at Stamford Bridge, so his first Premier League match as Manchester United manager may feel remotely familiar. Mourinho will hope the summer arrivals, namely Zlatan Ibrahimovic and Henrikh Mkhitaryan can ensure a different outcome against Eddie Howe’s men this time around. “Zlatan is a great player, but you can pick any one of their players who will be a threat to us,” said Howe, who could give debuts to Jordon Ibe and Lewis Cook. “We’re looking forward to the game.” Ben Fisher	-1	0.9898953139781952,-0.9949931502342224
722	Chelsea	West Ham United	2	1	15/08/2016	17	This could be the game of the opening weekend. Antonio Conte may need some time to leave his mark on Chelsea but there is justified excitement at Stamford Bridge after last season’s horrors. West Ham arrive with two competitive games under their belt after progressing in the Europa League and it will be fascinating to see if Slaven Bilic can improve on last year’s fine performance. Alan Smith	1	0.9734640121459961,0.9975997805595398
723	Burnley	Liverpool	2	0	20/08/2016	17	Two consecutive home games might have appeared an agreeable reintroduction to top-flight football for Burnley but it will not feel that way if last week’s defeat to Swansea is followed by another. Steven Defour should make his debut in midfield with David Jones having joined Sheffield Wednesday; Sean Dyche must wait to field Jon Flanagan, unavailable as he is on loan from Liverpool. An active Liverpool full-back, Alberto Moreno, was criticised after the 4-3 win at Arsenal but will retain his place after being backed by Jürgen Klopp. Nick Ames	1	-0.9906830787658691,0.9979943037033081
724	Leicester City	Arsenal	0	0	20/08/2016	17	The season has barely got under way and yet, on the back of defeats on the opening weekend, this already feels like a significant game for both clubs. Arsenal did the double over Leicester last season but were second best to them where it really mattered and they also failed in an attempt to sign Jamie Vardy in the summer. Robert Huth is back from suspension for Leicester while Laurent Koscielny, Mesut Özil and Olivier Giroud could all return for Arsenal. Stuart James	0	0,-0.9988099336624146
725	Stoke City	Manchester City	1	4	20/08/2016	17	Can Pep Guardiola do it on a temperate afternoon in Stoke? Quite probably, unless the home side start more quickly than they did at Middlesbrough. last week. Mark Hughes waits on the fitness of Xherdan Shaqiri, whose free-kick illuminated a much better second half, before deciding who faces his old club and will have to continue with another City old boy, the 40-year-old Shay Given, in goal while Jack Butland is laid low. Guardiola has no such issues; his own first-choice keeper, Willy Caballero, is fighting fit. Nick Ames	-1	-0.9946494102478027,0.803802490234375
726	Swansea City	Hull City	0	2	20/08/2016	17	The opening day brought welcome victories for both clubs – unexpectedly so in the case of Hull, who have not added to their threadbare squad since beating Leicester and remain without a permanent manager. Gylfi Sigurdsson, who came off the bench at Burnley, could start for Swansea. Borja Baston, Swansea’s club-record signing, has been ruled out with a thigh injury, Neil Taylor is being given more time to recover from Euro 2016 and Leon Britton has been laid low with illness this week. Stuart James	-1	-0.004615873098373413,0.9993606209754944
727	Tottenham Hotspur	Crystal Palace	1	0	20/08/2016	17	Crystal Palace looked bereft of ideas in attack against West Brom on the opening day and they cross London this afternoon with Mile Jedinak and Yannick Bolasie no longer in their ranks. Connor Wickham will be keen to impress before Christian Benteke gets involved. It all points to a first win of the campaign for Tottenham, following on from their draw against Everton last weekend. Alan Smith	1	0.9995654225349426,-0.013768225908279419
728	Watford	Chelsea	1	2	20/08/2016	17	Despite the best intentions of both managers this reunion has been billed as a grudge match. Antonio Conte earned Walter Mazzarri’s ire after mimicking his formation in a crunch Serie A fixture five years ago. He looks set to name an unchanged side after Chelsea’s late win over West Ham on Monday. The arrival of Younès Kaboul and Argentine midfielder Roberto Pereyra meanwhile will come too late for Watford this weekend, for whom Ben Watson is also suspended after his red card against Southampton. Paul MacInnes	-1	-0.001389622688293457,-0.6218959987163544
729	West Brom	Everton	1	2	20/08/2016	17	West Brom and Yannick Bolasie could face each other for the second consecutive weekend after the attacker moved from Crystal Palace to Everton in midweek. Ronald Koeman will need to decide whether to use him from the start or as a substitute, though that could depend on the fitness of Romelu Lukaku. Ashley Williams’ availability is also touch and go for the visitors. Alan Smith	-1	0.9979392886161804,-0.9981343150138855
730	Sunderland	Middlesbrough	1	2	21/08/2016	17	While Wear-Tees clashes lack the fierce intensity of their Tyne-Wear cousins – the clubs are 35 miles apart – the atmosphere will still be highly charged. If David Moyes must trust Younès Kaboul’s defection to Watford does not leave Álvaro Negredo scenting blood, Jermain Defoe would relish defying Víctor Valdés. For the past five seasons Sunderland have failed to win a league game in August but, much as Moyes wants to put that right in his first home league match with his new club, Aitor Karanka could do with a derby win. Louise Taylor	-1	0.35021891196568805,0.9832514524459839
731	West Ham United	Bournemouth	1	0	21/08/2016	17	Losing at Chelsea on Monday before playing in Romania on Thursday night was not the ideal way for West Ham United to prepare for their Premier League debut in their new ground. It has been a slow start to the season for the Hammers and Slaven Bilic will hope to have Dimitri Payet available from the start. Bournemouth, beaten by Manchester United last weekend, won this fixture last year thanks to Callum Wilson’s hat-trick. Jacob Steinberg	1	-0.9952193200588226,0.9994494318962097
732	Chelsea	Burnley	3	0	27/08/2016	17	Burnley’s eye-catching win over Liverpool last weekend served as a warning to Chelsea that a fixture which once might have been considered a likely walkover actually has the potential to be awkward. “They are a very solid team in defensive situations, and always ready to go on the counter-attack with two forwards,” said Antonio Conte, who was impressed by Sean Dyche when the pair met at a coaches’ meeting in pre-season. “This is dangerous.” All three of his side’s successes to date have been narrow and nerve-jangling. This, too, should prove tight. Dominic Fifield	1	0,-0.33224807182947796
733	Crystal Palace	Bournemouth	1	1	27/08/2016	17	Something will have to give at Selhurst Park. These sides are currently pointless at the foot of the table, with Crystal Palace having been undone by set-pieces in each of their games and Christian Benteke’s lack of match fitness likely to see the record signing start on the bench. Wilfried Zaha may join him there after asking to leave this week. Bournemouth won in south-east London earlier this year as they surged to safety and Palace slipped the other way. This could condemn one of the sides to an international window dogged by self-doubt. Dominic Fifield	0	0.329756220181783,-0.0047702789306640625
734	Everton	Stoke City	1	0	27/08/2016	17	Romelu Lukaku changed the game from the bench in the 2-1 win at West Brom and is expected to lead the line against a Stoke side looking for an unprecedented third win in a row at Goodison. The last was a 4-3 thriller in December and Xherdan Shaqiri, who scored twice in that game, should be back while Peter Crouch is keen for an airing after his midweek hat-trick at Stevenage. Mark Tallentire	1	0.9979828596115112,0.005302518606185913
735	Leicester City	Swansea City	2	1	27/08/2016	17	Leicester City, while not desperate for a win, could use a momentum-building victory against Swansea City before their Champions League debut. Claudio Ranieri will be hoping for better service to, and better finishing from, Jamie Vardy, who has yet to record a shot on target this season. If Swansea inflict another defeat on the champions, panic could take hold of Leicester’s pizzerias. Graham Searles	1	-0.14891669154167175,0
736	Southampton	Sunderland	1	1	27/08/2016	17	David Moyes upset some fans by suggesting this week that Sunderland should expect to find themselves in another relegation fight this season if reinforcements are not bought soon. But the lack of ambition in the manager’s approach on the pitch in Sunderland’s first two matches should be of more concern. Moyes would be well advised to get a better display from his side at St Mary’s, where Southampton’s manager, Claude Puel, is looking for a first league win. Paul Doyle	0	-0.007300913333892822,-0.9966992139816284
737	Tottenham Hotspur	Liverpool	1	1	27/08/2016	17	A lot has happened since Jürgen Klopp’s first game in charge of Liverpool at White Hart Lane last October but not so much has changed. Problems with consistency continue , which Klopp had alluded to well before their chastening defeat by Burnley last weekend. Tottenham Hotspur, too, are yet to find top gear this season after stuttering to their first win of the season against Crystal Palace but Klopp is wary of their talents. “We know they are strong, that’s the only thing we need to know,” he said. “We can be strong too and should show this on Saturday.” Ben Fisher	0	-0.9863744974136353,-0.9879336953163147
738	Watford	Arsenal	1	3	27/08/2016	17	With Arsenal already five points behind in the title race after only two games, Arsène Wenger needs a victory at Vicarage Road. Not that Walter Mazzarri’s Watford are without their own concerns after losing their past two matches. Mazzarri has been busy in the transfer window but the new signings Roberto Pereyra, Younès Kaboul and Daryl Janmaat are unlikely to start. Paul MacInnes	-1	-0.991592139005661,-0.9757423400878906
739	Manchester City	West Ham United	3	1	28/08/2016	17	So far, so very good for the Pep Guardiola Manchester City project. A disrupted pre-season is no longer a factor and the Catalan’s side are flying. What will fascinate is when the Pep bounce falters and his side suffer a defeat. Slaven Bilic’s West Ham United won at the Etihad Stadium 2-1 last season, so might they be the team to offer City a first taste of adversity? Jamie Jackson	1	0.327933390935262,0.8656238317489624
740	West Brom	Middlesbrough	0	0	28/08/2016	17	This will be the first meeting between these sides since 2010 but the recent record is overwhelmingly in favour of the host club. Albion have won the past four, scoring 11 goals without conceding one – including 5-0 and 3-0 wins. Yet Middlesbrough will fancy their chances of a win following a solid start to the season – despite the midweek cup loss at Fulham. It will be close. Alan Smith	0	0.9992015957832336,0.9978735893964767
741	Arsenal	Southampton	2	1	10/09/2016	17	Shkodran Mustafi could make his Arsenal debut and Lucas Pérez is also available for his first appearance. Arsène Wenger said he has the “most mature squad for a long time” but they will not find it easy against Southampton, who will be hoping Fraser Forster is fit after missing England’s trip to Slovakia with an arm injury. Ryan Bertrand is also available. Alan Smith	1	0.006539732217788696,0.9982761144638062
742	Bournemouth	West Brom	1	0	10/09/2016	17	Eddie Howe is expected to give Jack Wilshere his competitive debut, although the manager revealed he has had to manage the midfielder’s workload. “We have to get the balance right between getting him fitter and making sure he does not break down,” said Howe. Wilshere’s last league goal for Arsenal was in May 2015 against West Brom, whose manager, Tony Pulis, coached Howe as a teenager. Ben Fisher	1	0.9508140881856283,0.9856094717979431
743	Burnley	Hull City	1	1	10/09/2016	17	If proof were needed the Premier League rarely goes as one would expect, Burnley’s first two home games – a defeat to Swansea and a win over Liverpool – have underlined the point. A 3-0 defeat at Chelsea was rather more predictable but it is hard to know what to expect against a Hull side who were seconds away from an unbeaten start before losing to Manchester United. Jeff Hendrick should make his debut after a record move from Derby County, either in the middle or on the flanks Nick Ames	0	0.8850891590118408,-0.004039973020553589
744	Liverpool	Leicester City	4	1	10/09/2016	17	Jürgen Klopp wants Liverpool to “use the power” of the extra 8,500 fans who will attend the club’s first home game of the season following the opening of the new £114m main stand at Anfield. Anticipation is rife having spent August on the road and with the champions representing an awkward return home. Both Liverpool and Leicester have had a mixed start but will be looking to build on encouraging displays before the international break. Leicester’s £30m summer signing Islam Slimani could make his debut. Andy Hunter	1	0.9826163649559021,0.10707497596740723
745	Manchester United	Manchester City	1	2	10/09/2016	17	After the hype, the match. The Manchester derby will offer clues about how United and City will fare this season and nothing more. Students of body language, the media, and fans will watch José Mourinho and Pep Guardiola, particularly around handshake time, but remember this: all that matters is what occurs on the pitch. The prospect is enticing. Jamie Jackson	-1	0.9964520633220673,0
746	Middlesbrough	Crystal Palace	1	2	10/09/2016	17	As if the potential beauty contest between those formidable centre forwards - Álvaro Negredo and Christian Benteke - was not sufficiently compelling, Alan Pardew has spiced things up by naming two Bentekes in his squad. Christian’s younger brother, and fellow striker, Jonathan is expected to be on the bench against a Middlesbrough side unbeaten in the league. Palace have only one point but might the pair’s respective early season positions be deceptive? An intriguing litmus test - not to mention clash of two contrasting counter-attacking styles - beckons. Louise Taylor	-1	0.998126208782196,0.9850256443023682
747	Stoke City	Tottenham Hotspur	0	4	10/09/2016	17	Stoke’s injury problems show little sign of abating and their task will become harder if Tottenham inflict a third defeat in four games. Xherdan Shaqiri and Mame Biram Diouf are the latest casualties although there should be debuts for the defender Bruno Martins Indi and, up front, Wilfried Bony, both signed on loan before the deadline. Mark Hughes must decide whether to persist with a relatively conservative three-man central midfield against Tottenham, whose own start has been more solid than spectacular. Nick Ames	-1	-0.9963123500347137,0.8896968960762024
748	West Ham United	Watford	2	4	10/09/2016	17	Last season’s star player, Dimitri Payet, and recent signing from Juventus, Simone Zaza, are set to be included from the start by Slaven Bilic against a Watford side who have had a tough start to the season. Another former Juve player, Robert Pereyra, should start for the visitors, having made his debut from the bench in the defeat at home to Arsenal. Alan Smith	-1	0,0.9959443410237631
749	Swansea City	Chelsea	2	2	11/09/2016	17	Borja Bastón, Swansea’s record signing, could make his debut for the hosts (assuming the striker has sufficiently recovered from a thigh injury) and will immediately be tasked with getting the better of David Luiz. The Brazilian’s return to Chelsea caught many by surprise but Antonio Conte thinks the 29-year-old could still become one of the world’s best defenders. Alan Smith	0	0.03745162487030029,0.9992164373397827
750	Sunderland	Everton	0	3	12/09/2016	17	Once so synonymous with Everton, David Moyes finds himself plotting the potential downfall of the team he managed for more than a decade. He will be assisted on the pitch by fellow Goodison Park old boys Steven Pienaar and Jack Rodwell, while a not yet fully fit Victor Anichebe looks on from the sidelines as Sunderland seek a morale-boosting first league win of the season. It should be particularly interesting to see how Lamine Koné, an £18m Everton transfer target this summer, performs in the home defence. Louise Taylor	-1	0.9874463081359863,-0.0008783340454101562
751	Everton	Middlesbrough	3	1	17/09/2016	17	Middlesbrough have made a solid return to the top flight but their hosts will be full of confidence having made their best start to a campaign for a decade. Gareth Barry will join Ryan Giggs and Frank Lampard in the Premier League’s 600-club, 18 years after his debut for Aston Villa at Sheffield Wednesday, but whether Ross Barkley will join the immaculate veteran in midfield remains to be seen. Ronald Koeman has not shied from the big calls on the England international, on the pitch or in public. Romelu Lukaku is back among the goals after his hat-trick at Sunderland. Andy Hunter	1	0.9793733358383179,0.9986783862113953
752	Hull City	Arsenal	1	4	17/09/2016	17	Mike Phelan would virtually guarantee being appointed manager of Hull by beating Arsenal after a strong start to his time as caretaker. However, the likelihood is slim considering the home side have beaten Arsenal once in 18 meetings. Arsène Wenger should have great faith three points will be banked here. The visitors have been prolific at the Kcom Stadium, winning five out of five. Graham Searles	-1	0,-0.787361204624176
753	Leicester City	Burnley	3	0	17/09/2016	17	Back to reality for Leicester, who host newly promoted Burnley less than 72 hours after hammering Club Brugge on their Champions League debut. Danny Simpson is fit again and Islam Slimani is in line to make his first Premier League appearance as the champions go in search of a second league win. Burnley, who also have four points from their opening four matches, could prove to be more awkward opponents than Brugge. Club-record signing Jeff Hendrick is set to make his first start for Sean Dyche’s side. Stuart James	1	0.9754233360290527,0.0009590685367584229
754	Manchester City	Bournemouth	4	0	17/09/2016	17	The record shows a magnificent seven wins from seven outings for Pep Guardiola’s Manchester City. The Catalan is already creating the myth that a side can be beaten before they walk past the white line for kick-off. Can, then, Bournemouth do what no other side has yet and, at least, fashion a draw? It appears a slim prospect even though City are without the sublime and prolific Sergio Agüero, who is suspended. Jamie Jackson	1	0.999840497970581,-0.9888492822647095
755	West Brom	West Ham United	4	2	17/09/2016	17	Tony Pulis remains in charge at West Brom but for how much longer? The manager’s weakened relationship with club hierarchy has dominated the buildup to this game. For West Ham so much has been made of the teething problems at their new stadium that their below-par start to the season has not been given as much attention as perhaps it should. Both could badly do with a win. Alan Smith	1	-0.9823341369628906,-0.9995468258857727
756	Crystal Palace	Stoke City	4	1	18/09/2016	17	Crystal Palace’s latest attempt to rejuvenate their home form will be undertaken without Pape Souaré, who faces up to six months out with the injuries sustained in Sunday’s car crash on the M4. Alan Pardew and his players have visited the Senegalese in hospital this week and that might focus minds against Stoke, who prop up the division. Mark Hughes’ side have not prevailed in any of their last six games against Palace. They, too, are in need of a revival. Dominic Fifield	1	-0.9823484122753143,-0.9399329423904419
757	Southampton	Swansea City	1	0	18/09/2016	17	Thursday’s Europa League victory over Sparta Prague gave Claude Puel the first win of his reign and some welcome selection options. Charlie Austin put forward a strong case for a start against Swansea by scoring twice against the Czechs and the whole team looked comfortable in a 4-3-3 formation. The manager could build on that performance as he seeks his first Premier League win. Paul Doyle	1	0.9998527765274048,0.9996787309646606
758	Tottenham Hotspur	Sunderland	1	0	18/09/2016	17	The disappointment of Tottenham’s midweek Champions League defeat by Monaco at Wembley cut deep, with Mauricio Pochettino particularly upset at what he saw as a lack of intensity and decisiveness. The manager wants Sunderland to feel the backlash and, with David Moyes experiencing plenty of problems at the north-east club, Tottenham have a good opportunity to bounce back. Sunderland, winless and joint-bottom of the table, have a dismal record at White Hart Lane. David Hytner	1	-0.0036128461360931396,0.000626295804977417
759	Watford	Manchester United	3	1	18/09/2016	17	After a strong start to their season Manchester United find themselves on a two-game losing streak. Watford’s impressive four-goal comeback against West Ham last Saturday means United need to be wary. That said, José Mourinho is a chip-on-his-shoulder specialist and will no doubt be drilling into his side that victory must be the only outcome to keep up with their noisy neighbours. Graham Searles	1	0.9073595106601715,-0.9827879369258881
760	Arsenal	Chelsea	3	0	24/09/2016	17	Arsène Wenger calls them “the inconvenient facts of the recent years”. To Chelsea it has been capital city supremacy. In the previous 10 editions of this fixture – excluding the Community Shield – the west London club have won seven times and there have been three draws. Wenger has called on his Arsenal players to buck the trend and nullifying Diego Costa is at the top of his agenda. The subplots are numerous and rich. Expect fireworks. David Hytner	1	-0.972924143075943,0.99777752161026
761	Bournemouth	Everton	1	0	24/09/2016	17	Everton travel to Bournemouth aware that victory could take them top of the Premier League. Regardless of that, it’s another opportunity for Ronald Koeman’s side to showcase their intentions, while they can extend their unbeaten start in the league to six matches. Romelu Lukaku, who has scored five goals already this month, is expected to return from a toe injury after missing the midweek EFL Cup defeat by Norwich City. This fixture last season acted as a springboard for Bournemouth, who equalised in the eighth minute of stoppage time to record a 3-3 draw. The neutrals, and Bournemouth, would most probably settle for the same again this time around. Ben Fisher	1	0.3292781909306844,0.33766263723373413
762	Liverpool	Hull City	5	1	24/09/2016	17	Mike Phelan is unbeaten in four away matches as caretaker manager of Hull but confronts a Liverpool team that has clicked impressively and is seeking a fourth consecutive win in all competitions. Jürgen Klopp has a big call to make in goal, with Loris Karius pressing Simon Mignolet for inclusion, and faces a sustained test of Liverpool’s consistency with five of their next six games after Hull coming against sides who beat them last season. Hence the manager’s plea for patience from the Anfield crowd. Andy Hunter	1	0.33230264981587726,0
763	Manchester United	Leicester City	4	1	24/09/2016	17	Six points is already the gap to Manchester City as José Mourinho chases a desperately required win and decides whether to drop Wayne Rooney. The Portuguese is intent on ensuring Paul Pogba plays in his best position, so expect him on the left of a Manchester United 4-3-3. If, then, the captain is to be accommodated Anthony Martial’s injury may allow Rooney to play on the left of the front three. Jamie Jackson	1	-0.34849315881729126,0.9837904572486877
764	Middlesbrough	Tottenham Hotspur	1	2	24/09/2016	17	Aitor Karanka and Mauricio Pochettino are old friends from the pair’s playing days in Spain. Later the two former centre halves were fast tracked through their coaching badges on the same course in Madrid. Back then they could surely never have guessed that, almost a decade on, they would be reunited on Teesside with Karanka’s Middlesbrough hosting the Argentinian’s Tottenham. After straight defeats against Crystal Palace and Everton, Boro could do with a win and will hope to capitalise on Harry Kane’s absence. Louise Taylor	-1	0.5041017532348633,0.9994275569915771
765	Stoke City	West Brom	1	1	24/09/2016	17	If a degree of pressure was removed from Tony Pulis’s shoulders after West Brom’s win over West Ham, the knives will be out in force at his old club if Mark Hughes’s side fails again here. How Hughes can arrest a slump that has brought four limp defeats in a row, along with a League Cup exit to Hull, is anyone’s guess but Stoke’s treatment table is at least clearing and Xherdan Shaqiri may be able to play some part after recovering from the calf injury that has sidelined him since the opening day. Nick Ames	0	-0.8450743556022644,-0.9803870320320129
766	Sunderland	Crystal Palace	2	3	24/09/2016	17	As Newcastle United manager, Alan Pardew suffered horribly at the hands of Sunderland and he would hardly be human were he not particularly keen to see Crystal Palace celebrate victory on Wearside. Such an event would represent a significant blow to David Moyes who is desperate to secure his first league win at Sunderland. Doing so will have to see his side attack more fluently as they have unleashed the fewest shots in the top tier this season and scored only three goals in their opening five fixtures. Louise Taylor	-1	-0.99568971991539,0.9832514524459839
